_ga_CVPS3GXE1Z	GS2.1.s1751650188$o1$g1$t1751654003$j60$l0$h0	.sahibinden.com	/	2026-08-08T18:33:23.875Z	59						Medium	
_ga_C1X44T5TZ9	GS2.1.s1751650188$o1$g1$t1751654003$j60$l0$h0	.sahibinden.com	/	2026-08-08T18:33:23.849Z	59						Medium	
_ga	GA1.1.1415631307.1751650189	.sahibinden.com	/	2026-08-08T18:33:23.876Z	30						Medium	
_fbp	fb.1.1751651910566.551015692328525210	.sahibinden.com	/	2025-10-02T17:58:39.000Z	41						Medium	
_dc_gtm_UA-235070-1	1	.sahibinden.com	/	2025-07-04T18:34:23.000Z	20						Medium	
__cflb	0H28v2suC8qL3geWTE4DP1nhkSyciq1gmfeb7M4tBsy	banaozel.sahibinden.com	/	2025-07-04T19:33:23.595Z	49	✓	✓	None			Medium	
__cflb	0H28vudCb12J6LVB9qNjWurRvgFyPgDARGbStnpt7EB	www.sahibinden.com	/	2025-07-04T19:33:23.122Z	49	✓	✓	None			Medium	
__cf_bm	nKge04foD8yXXNmPFQxiLdqQE1LTvvgEt1JDXg3vQtg-1751654003-1.0.1.1-Y4kg_BnIGGa94_RLzFtreJxw1mf29jgkOIGqjIFTrZ1ttMGc6XevL0Pk4SqDk2K9FO48gS0FnmIoBP2riN2m47ix0jIpf9uXBs3GArKwfwYeD_xFrxoZx4v4hu.YNFM.	.sahibinden.com	/	2025-07-04T19:03:23.122Z	198	✓	✓	None			Medium	
OptanonConsent	isGpcEnabled=0&datestamp=Fri+Jul+04+2025+21%3A33%3A23+GMT%2B0300+(GMT%2B03%3A00)&version=202503.2.0&browserGpcFlag=0&isIABGlobal=false&consentId=b9ee3c62-6cf9-436f-b63e-bceffe21f3c5&interactionCount=1&isAnonUser=1&landingPath=NotLandingPage&groups=C0004%3A0%2CC0001%3A1%2CC0003%3A0%2CC0002%3A0&hosts=H183%3A0%2CH186%3A0%2CH131%3A0%2CH106%3A0%2CH8%3A0%2CH80%3A0%2CH67%3A0%2CH27%3A0%2CH14%3A0%2CH31%3A0%2CH114%3A0%2CH184%3A0%2CH115%3A0%2CH117%3A0%2CH87%3A1%2CH88%3A0%2CH4%3A0%2CH91%3A0%2CH5%3A0%2CH185%3A0%2CH93%3A0%2CH180%3A0%2CH17%3A0%2CH122%3A0%2CH96%3A0%2CH124%3A0%2CH64%3A1&genVendors=&intType=2&geolocation=%3B&AwaitingReconsent=false	.sahibinden.com	/	2026-07-04T18:33:23.000Z	652			Lax			Medium	
OptanonAlertBoxClosed	2025-07-04T17:29:52.406Z	.sahibinden.com	/	2026-07-04T17:29:52.000Z	45			Lax			Medium	
MS1		.sahibinden.com	/	2026-07-04T21:33:23.000Z	3						Medium	
IDE	AHWqTUlbrvcFEzwj-mgCuhzJgSae3AHpAm-Yv9ZmCZ0GHW-3EvcYSR6GaILwxSQ8	.doubleclick.net	/	2026-01-07T22:55:31.233Z	67	✓	✓	None			Medium	
